,year,age,sex,lfp,n,cohort,lfp_pred,lfp_se,lfp_pred2,lfp_se2,lfp_age_avg,lfp_pred3,lfp_se3
4411,2000,69,2,17.119585,5632,1931,14.6856494877,0.42865900877,14.7917726243,0.54786571303,12.249696,15.1706607613,0.0460561832879
4412,2001,69,2,15.260856,5868,1932,14.9254750338,0.550353875459,15.164821756,0.820940578046,12.249696,15.4526697106,0.0562014048037
4413,2002,69,2,15.713949,6250,1933,15.1347435283,0.701486357379,15.6174967839,1.15951675358,12.249696,15.703121917,0.0683286186844
4414,2003,69,2,17.849632,5872,1934,15.3098141479,0.883274067992,15.9985323769,1.53936252773,12.249696,15.9170588465,0.0824239570869
4415,2004,69,2,18.110535,6092,1935,15.4478131841,1.09701184094,16.1194974524,1.93387509286,12.249696,16.0906918406,0.0984664003959
4416,2005,69,2,18.978354,5849,1936,15.5467152701,1.34397202027,15.8465997193,2.31699531131,12.249696,16.2215477537,0.116426065757
4417,2006,69,2,19.664814,5945,1937,15.6054054429,1.62530275909,15.1696385196,2.66653873842,12.249696,16.308542157,0.136260793793
4418,2007,69,2,20.617891,6216,1938,15.6237206746,1.94194616322,14.2126777396,2.9668149803,12.249696,16.3519767565,0.157913107901
4419,2008,69,2,22.05101,6155,1939,15.6024700332,2.29457677418,13.1842862245,3.20986883238,12.249696,16.3534641453,0.181308127764
4420,2009,69,2,20.875044,6530,1940,15.5434331726,2.68355685288,12.2958852479,3.39519166194,12.249696,16.3157887721,0.206352484513
4421,2010,69,2,20.942274,6694,1941,15.449337389,3.10890524884,11.6889011036,3.52817925849,12.249696,16.2427174617,0.232934132147
4422,2011,69,2,20.528149,6855,1942,15.3238139968,3.57027758942,11.4012072135,3.61788415098,12.249696,16.1387756231,0.260922924445
4423,2012,69,2,21.966194,7402,1943,15.1713352706,4.06695626453,11.3795201165,3.67468891868,12.249696,16.009006295,0.290171835211
4424,2013,69,2,21.266455,6758,1944,14.9971336353,4.59784913782,11.5218846475,3.70842025981,12.249696,15.858728518,0.320518712557
4425,2014,69,2,22.083248,7191,1945,14.8071051872,5.16149615882,11.7247445757,3.72718863408,12.249696,15.6933094631,0.351788467613
4426,2015,69,2,21.882967,7581,1946,14.6076999445,5.75608315987,11.914381063,3.73697017442,12.249696,15.5179617031,0.383795604184
4427,2016,69,2,24.544804,9191,1947,14.405801493,6.37946215169,12.0559259664,3.74174535428,12.249696,15.3375734478,0.416346999656
4428,1976,70,1,22.052025,4586,1906,23.6955034464,0.335295513498,22.7820064833,0.360172989416,19.61334,23.6263364141,0.0380874675652
4429,1977,70,1,22.366787,4780,1907,23.0244032662,0.268808318829,22.5488076251,0.265586818708,19.61334,22.9255880741,0.031846541084
4430,1978,70,1,21.698198,4935,1908,22.3537268915,0.226588476288,22.2418053983,0.238168716293,19.61334,22.2082979385,0.0274416086562
4431,1979,70,1,24.282043,5464,1909,21.694926505,0.203673087151,21.846325508,0.232965869747,19.61334,21.4937215784,0.0246245946709
4432,1980,70,1,21.244827,6204,1910,21.0593374081,0.193286913934,21.3397486552,0.228640229058,19.61334,20.8000131072,0.0230147708425
4433,1981,70,1,19.357183,5830,1911,20.457956193,0.18912378214,20.7146782425,0.22391711548,19.61334,20.1436447149,0.0221849026171
4434,1982,70,1,21.045752,5635,1912,19.9012253429,0.187017898183,19.9918356997,0.221091183467,19.61334,19.5390106664,0.0217728918979
4435,1983,70,1,19.781199,5989,1913,19.3988290424,0.18497744541,19.2234948084,0.220040057483,19.61334,18.9982190425,0.021539399985
4436,1984,70,1,18.579786,5387,1914,18.9595047448,0.182481147316,18.4905512443,0.219455332129,19.61334,18.5310514883,0.0213628403536
4437,1985,70,1,15.909369,5646,1915,18.59087469,0.179799977699,17.8893363929,0.218792683024,19.61334,18.1450542093,0.0212054381693
4438,1986,70,1,17.276834,5764,1916,18.2993011123,0.177517352221,17.5028328197,0.218266165526,19.61334,17.8457142928,0.0210760430906
4439,1987,70,1,17.07328,5658,1917,18.0897683225,0.176204239022,17.3638721815,0.218039776354,19.61334,17.6366741081,0.0209992435116
4440,1988,70,1,18.109058,5679,1918,17.9657942141,0.176203016388,17.4339082426,0.218039421761,19.61334,17.5199416194,0.0209933418859
4441,1989,70,1,17.960367,5682,1919,17.9293730497,0.177513730611,17.6195074597,0.218265087008,19.61334,17.496063827,0.0210586591283
4442,1990,70,1,17.386145,6044,1920,17.9809506361,0.179794077076,17.8242007669,0.218790852969,19.61334,17.564242224,0.0211773812867
4443,1991,70,1,17.00304,6056,1921,18.1194322327,0.182473114822,18.0044137289,0.219452714708,19.61334,17.7223814909,0.0213249938239
4444,1992,70,1,16.856701,5860,1922,18.3422227587,0.18496740472,18.1908260826,0.220036588257,19.61334,17.9670745999,0.0214921532201
4445,1993,70,1,17.579151,5912,1923,18.6452981108,0.187005920517,18.4591363177,0.221086776537,19.61334,18.2935383462,0.021715549391
4446,1994,70,1,18.912386,5697,1924,19.0233056764,0.189109907986,18.8699085188,0.223911743886,19.61334,18.6955224972,0.0221152394873
4447,1995,70,1,20.771133,5120,1925,19.4696914603,0.193271265357,19.4188487131,0.228634120161,19.61334,19.1652225452,0.0229290213356
4448,1996,70,1,21.636047,4674,1926,19.9768506456,0.203656081394,20.0312768788,0.232959461359,19.61334,19.6932296216,0.0245182021136
4449,1997,70,1,21.782604,4955,1927,20.5362978963,0.226570966947,20.6044395125,0.238161717969,19.61334,20.2685505621,0.0273105733827
4450,1998,70,1,21.488308,4726,1928,21.1388533021,0.268791328202,21.0699648621,0.265576643476,19.61334,20.8787257601,0.031688318448
4451,1999,70,1,20.567917,4569,1929,21.7748395582,0.33527971337,21.4362004744,0.360154825471,19.61334,21.5100622948,0.0379006282978
4452,2000,70,1,20.692141,4678,1930,22.4342857885,0.428671213797,21.782864299,0.547865713899,19.61334,22.1479858165,0.0460626640147
4453,2001,70,1,23.494764,5144,1931,23.1071333482,0.550363911785,22.2093586358,0.820940578398,19.61334,22.7774987241,0.0562078830192
4454,2002,70,1,19.870325,4628,1932,23.7834389926,0.701494612216,22.7657027055,1.15951675373,19.61334,23.3837169129,0.0683349306171
4455,2003,70,1,24.174524,4870,1933,24.4535709556,0.883280892978,23.4056834542,1.53936252779,19.61334,23.9524455127,0.0824299637155
4456,2004,70,1,22.216516,4822,1934,25.1083937576,1.09701752451,23.98995648,1.93387509288,19.61334,24.4707476774,0.0984719992534
4457,2005,70,1,24.606344,4710,1935,25.7394379223,1.34397679148,24.3395281088,2.31699531132,19.61334,24.9274605671,0.116431191871
4458,2006,70,1,26.016912,5102,1936,26.3390512377,1.62530679906,24.312882685,2.66653873843,19.61334,25.3136187392,0.136265415545
4459,2007,70,1,24.501234,5073,1937,26.9005287224,1.94194961607,23.8681628624,2.96681498031,19.61334,25.6227556904,0.157917220826
4460,2008,70,1,25.824419,4906,1938,27.4182190317,2.29457975573,23.0812089095,3.20986883239,19.61334,25.851067098,0.181311747879
4461,2009,70,1,26.63798,5308,1939,27.8876056632,2.68355945709,22.114327783,3.39519166194,19.61334,25.9974322843,0.206355642022
4462,2010,70,1,26.842903,5579,1940,28.3053619549,3.10890755246,21.1548754136,3.52817925849,19.61334,26.0633019137,0.232936865967
4463,2011,70,1,28.505972,5548,1941,28.6693795172,3.57027965542,20.3540353655,3.61788415098,19.61334,26.0524689749,0.260925277748
4464,2012,70,1,27.487803,6078,1942,28.9787703673,4.06695814457,19.7905974915,3.67468891868,19.61334,25.9707463809,0.290173852024
4465,2013,70,1,26.178673,6611,1943,29.2338436354,4.59785087412,19.4681750682,3.70842025981,19.61334,25.8255781228,0.320520435355
4466,2014,70,1,26.784479,6239,1944,29.4360582729,5.16149778565,19.3378799743,3.72718863408,19.61334,25.6256121549,0.351789935784
4467,2015,70,1,28.041649,6079,1945,29.5879536878,5.75608470464,19.3302039597,3.73697017442,19.61334,25.3802623868,0.383796853199
4468,2016,70,1,28.061871,6442,1946,29.6930606708,6.37946363596,19.3814190729,3.74174535428,19.61334,25.0992846531,0.416348060785
4469,1976,70,2,8.623764,5940,1906,9.81533188818,0.335295513499,9.36919077531,0.360172989416,9.9341631,9.30270625072,0.0380874675652
4470,1977,70,2,9.408618,6299,1907,9.71731078583,0.268808318827,9.39170392673,0.265586818708,9.9341631,9.26146536129,0.031846541084
4471,1978,70,2,9.4703045,6752,1908,9.6233655345,0.226588476287,9.35119493197,0.238168716293,9.9341631,9.21796055476,0.0274416086561
4472,1979,70,2,9.0141582,6876,1909,9.537976342,0.203673087146,9.26140022116,0.232965869747,9.9341631,9.17583887902,0.0246245946708
4473,1980,70,2,9.0718489,8160,1910,9.46554301856,0.193286913932,9.1526060574,0.228640229058,9.9341631,9.13888824114,0.0230147708425
4474,1981,70,2,8.6319494,7632,1911,9.41025951448,0.189123782133,9.05885840024,0.22391711548,9.9341631,9.11090021664,0.0221849026172
4475,1982,70,2,8.3836365,7505,1912,9.37599384725,0.187017898179,8.99456390678,0.221091183467,9.9341631,9.0955458723,0.0217728918978
4476,1983,70,2,8.9212856,7909,1913,9.36617655718,0.184977445401,8.94324046029,0.220040057483,9.9341631,9.09626807179,0.021539399985
4477,1984,70,2,8.7825928,7725,1914,9.38370062898,0.182481147308,8.87705391054,0.219455332129,9.9341631,9.11619089204,0.0213628403536
4478,1985,70,2,9.0001469,7866,1915,9.43083553219,0.179799977691,8.79731696571,0.218792683024,9.9341631,9.15804437352,0.0212054381692
4479,1986,70,2,8.5478401,7299,1916,9.50915767624,0.177517352218,8.75919676623,0.218266165526,9.9341631,9.22410116363,0.0210760430906
